city,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?,rank,usps,pop2021,pop2010,growth,density,aland_sqmi,Rank_y,2010 population,2012 population,Growth / Decline,Jan,April,July,Oct ,Precip “,precip days,snowfall
Stockton,298118,"$632,000,000",Kevin Lincoln II (R),2021,2024,Council-manager,No,No,63,CA,314835,292888,0.0749,5064,62.172,64.0,291707.0,297984.0,6277.0,,,,,,,
Cincinnati,297517,"$358,000,000",John Cranley (D),2013,2022,Hybrid,Yes,Yes,65,OH,307266,296980,0.0346,3948,77.836,65.0,296943.0,296550.0,-393.0,,,,,,,
St. Paul,294873,"$515,500,000",Melvin Carter III (D),2018,2022,Strong mayor,No,Yes,64,MN,310368,285510,0.0871,5971,51.978,66.0,285068.0,290770.0,5702.0,,,,,,,
Toledo,282313,"$650,000,000",Wade Kapszukiewicz (D),2018,2022,Strong mayor,Yes,Yes,79,OH,268609,287065,-0.0643,3337,80.489,67.0,287208.0,284012.0,-3196.0,23.9,48.3,73.0,51.8,33.21,134.0,37.1
Greensboro,279639,"$472,000,000",Nancy B. Vaughan (D),2013,2022,Council-manager,No,No,66,NC,301094,269598,0.1168,2333,129.068,69.0,269666.0,277080.0,7414.0,,,,,,,
Newark,278427,"$800,000,000",Ras J. Baraka (D),2014,2022,Strong mayor,No,No,75,NJ,282529,277175,0.0193,11702,24.144,68.0,277140.0,277727.0,587.0,31.3,52.3,77.2,56.4,46.25,122.0,28.3
Plano,274409,"$492,000,000",John Muns (R),2021,2025,Council-manager,Yes,Yes,73,TX,285537,261234,0.093,3983,71.682,70.0,259841.0,272068.0,12227.0,,,,,,,
Henderson,270811,"$482,000,000",Debra March (D),2017,2023,Council-manager,No,No,56,NV,341531,257452,0.3266,3220,106.082,71.0,257729.0,265679.0,7950.0,,,,,,,
Lincoln,268738,"$159,000,000",Leirion Gaylor Baird (D),2019,2023,Strong mayor,Yes,No,70,NE,293446,259455,0.131,3050,96.223,72.0,258379.0,265404.0,7025.0,,,,,,,
Buffalo,258959,"$479,900,000",Byron Brown (D),2005,2021,Strong mayor,Yes,Yes,90,NY,254290,261275,-0.0267,6298,40.378,73.0,261310.0,259384.0,-1926.0,24.5,45.3,70.8,50.7,40.54,169.0,93.6
Jersey City,257342,"$535,300,000",Steven Fulop (D),2013,2021,Strong mayor,Yes,Yes,88,NJ,258523,248324,0.0411,17534,14.744,,,,,,,,,,,
Chula Vista,256780,"$293,400,000",Mary Salas (D),2014,2022,Council-manager,No,No,76,CA,281838,244648,0.152,5678,49.641,76.0,243916.0,252422.0,8506.0,,,,,,,
Fort Wayne,256496,"$190,200,000",Tom Henry (D),2008,2024,Strong mayor,No,No,77,IN,276286,254161,0.0871,2497,110.636,74.0,253691.0,254555.0,864.0,,,,,,,
Orlando,255483,"$934,000,000",Buddy Dyer (D),2003,2024,Strong mayor,Yes,No,71,FL,290520,239326,0.2139,2628,110.559,77.0,238300.0,249562.0,11262.0,,,,,,,
