CoC Number,CoC Name,City,CocState
NC-511,Fayetteville/Cumberland County CoC,Fayetteville,NC
NC-513,Chapel Hill/Orange County CoC,Hillsborough,NC
NC-516,Northwest North Carolina CoC,BOONE,NC
ND-500,North Dakota Statewide CoC,Grand Forks,ND
NE-500,Nebraska Balance of State CoC,Grand Island,NE
NE-501,"Omaha, Council Bluffs CoC",OMAHA,NE
NE-502,Lincoln CoC,Lincoln,NE
NH-500,New Hampshire Balance of State CoC,CLAREMONT,NH
NH-501,Manchester CoC,MANCHESTER,NH
NH-502,Nashua/Hillsborough County CoC,Nashua,NH
NJ-500,Atlantic City & County CoC,NORTHFIELD,NJ
NJ-501,Bergen County CoC,Hackensack,NJ
NJ-502,Burlington County CoC,Mount Holly,NJ
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",BRIDGETON,NJ
NJ-504,Newark/Essex County CoC,NEWARK,NJ
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Jersey City,NJ
NJ-507,New Brunswick/Middlesex County CoC,New Brunswick,NJ
NJ-508,Monmouth County CoC,ASBURY PARK,NJ
NJ-509,Morris County CoC,Perth Amboy,NJ
NJ-510,Lakewood Township/Ocean County CoC,Bayville,NJ
NJ-511,Paterson/Passaic County CoC,Paterson,NJ
NJ-512,Salem County CoC,SALEM,NJ
NJ-513,Somerset County CoC,Somerville,NJ
NJ-514,Trenton/Mercer County CoC,Trenton,NJ
NJ-515,Elizabeth/Union County CoC,Elizabeth,NJ
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Newton,NJ
NM-500,Albuquerque CoC,Albuquerque,NM
NM-501,New Mexico Balance of State CoC,SANTA FE,NM
NV-500,Las Vegas/Clark County CoC,Las Vegas,NV
NV-501,"Reno, Sparks/Washoe County CoC",RENO,NV
NV-502,Nevada Balance of State CoC,Carson City,NV
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",ROCHESTER,NY
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",PITTSFIELD,NY
NY-503,Albany City & County CoC,ALBANY,NY
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",SYRACUSE,NY
NY-507,Schenectady City & County CoC,SCHENECTADY,NY
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",BUFFALO,NY
NY-510,Ithaca/Tompkins County CoC,ITHACA,NY
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",Norwich,NY
NY-512,Troy/Rensselaer County CoC,PITTSFIELD,NY
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",Farmington,NY
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",Gowanda,NY
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Utica,NY
NY-519,"Columbia, Greene Counties CoC",HUDSON,NY
NY-520,"Franklin, Essex Counties CoC",Albany,NY
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",LOWVILLE,NY
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Ballston Spa,NY
NY-525,New York Balance of State Continuum of Care,Newburgh,NY
NY-600,New York City CoC,Brooklyn,NY
NY-601,Poughkeepsie/Dutchess County CoC,Poughkeepsie,NY
NY-602,"Newburgh, Middletown/Orange County CoC",NEWBURGH,NY
NY-603,"Nassau, Suffolk Counties CoC",New York,NY
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",White Plains,NY
NY-606,Rockland County CoC,Haverstraw,NY
NY-608,Kingston/Ulster County CoC,KINGSTON,NY
OH-500,Cincinnati/Hamilton County CoC,CINCINNATI,OH
OH-501,Toledo/Lucas County CoC,Toledo,OH
OH-502,Cleveland/Cuyahoga County CoC,Cleveland,OH
OH-503,Columbus/Franklin County CoC,Columbus,OH
OH-504,Youngstown/Mahoning County CoC,Youngstown,OH
OH-505,"Dayton, Kettering/Montgomery County CoC",DAYTON,OH
OH-506,"Akron, Barberton/Summit County CoC",Akron,OH
OH-507,Ohio Balance of State CoC,Athens,OH
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Ravenna,OH
OK-500,North Central Oklahoma CoC,Tulsa,OK
OK-501,Tulsa City & County CoC,TULSA,OK
OK-502,Oklahoma City CoC,OKLAHOMA CITY,OK
OK-503,Oklahoma Balance of State CoC,El Reno,OK
OK-504,Norman/Cleveland County CoC,Norman,OK
OK-505,Northeast Oklahoma CoC,Tahlequah,OK
OK-506,Southwest Oklahoma Regional CoC,LAWTON,OK
OK-507,Southeastern Oklahoma Regional CoC,Stigler,OK
OR-500,"Eugene, Springfield/Lane County CoC",EUGENE,OR
OR-501,"Portland, Gresham/Multnomah County CoC",PORTLAND,OR
OR-502,"Medford, Ashland/Jackson County CoC",MEDFORD,OR
OR-503,Central Oregon CoC,BEND,OR
OR-504,"Salem/Marion, Polk Counties CoC",Salem,OR
OR-505,Oregon Balance of State CoC,Corvallis,OR
OR-506,"Hillsboro, Beaverton/Washington County CoC",Hillsboro,OR
OR-507,Clackamas County CoC,Oregon City,OR
PA-500,Philadelphia CoC,Philadelphia,PA
PA-501,Harrisburg/Dauphin County CoC,Harrisburg,PA
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Chester,PA
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Wilkes-Barre,PA
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",NORRISTOWN,PA
PA-505,Chester County CoC,COATESVILLE,PA
PA-506,Reading/Berks County CoC,READING,PA
PA-508,Scranton/Lackawanna County CoC,SCRANTON,PA
PA-509,Eastern Pennsylvania CoC,Harrisburg,PA
PA-510,Lancaster City & County CoC,Elizabethtown,PA
PA-511,"Bristol, Bensalem/Bucks County CoC",DOYLESTOWN,PA
PA-512,York City & County CoC,York,PA
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PITTSBURGH,PA
PA-601,Western Pennsylvania CoC,Harrisburg,PA
PA-603,Beaver County CoC,ROCHESTER,PA
PA-605,Erie City & County CoC,Erie,PA
PR-502,Puerto Rico Balance of Commonwealth CoC,San Juan,PR
