city,state,median household income (dollars)_2019,monthly cost_2019,owner occupied income_2019,owner occupied cost_2019,renter occupied income_2019,renter occupied cost_2019
wenatchee,wa,59330,1056,75830,1115,43674,1012
west bend,wi,65523,1029,82356,1174,43914,841
westminster--eldersburg,md,101528,1560,119947,1818,45131,1221
wheeling,wv--oh,44164,623,57063,609,26450,655
wichita,ks,58031,883,75097,942,36076,845
wichita falls,tx,49079,785,67200,802,35546,773
williamsburg,va,88285,1292,99494,1332,44783,1234
wilmington,nc,57335,1153,80510,1216,38474,1109
winchester,va,81457,1214,97291,1280,60138,1160
winston-salem,nc,52432,859,70605,912,31212,823
winter haven,fl,49085,819,52881,726,36025,923
worcester,ma--ct,75006,1322,104165,1640,41662,1117
yakima,wa,51938,914,68950,967,33223,869
yauco,pr,16003,175,18460,160,10795,369
york,pa,61992,1036,78768,1099,37404,971
youngstown,oh--pa,43620,664,57027,654,25311,674
yuba city,ca,59603,1123,81133,1210,36554,1078
yuma,az--ca,47201,806,54529,725,31723,879
zephyrhills,fl,44360,655,48789,538,36764,936
