city,state,median household income (dollars)_2017,monthly cost_2017,owner occupied income_2017,owner occupied cost_2017,renter occupied income_2017,renter occupied cost_2017
globe,az,41101,653,45383,496,28873,784
gloucester courthouse,va,58568,1108,89767,1376,29916,815
glouster,oh,30568,590,36307,523,23155,646
gloversville,ny,41244,740,56250,772,26827,723
gold beach,or,33958,705,47000,550,24074,770
golden beach,md,84747,1596,86776,1564,56250,1769
goldendale,wa,40366,713,64671,797,17652,704
golden gate estates,fl,73306,1251,71923,1219,81048,1500
goldsboro,nc,37417,753,56339,795,26252,742
gonzales,ca,53532,1294,75000,1512,40273,1151
gonzales,tx,39805,632,53750,602,25449,639
gooding,id,34605,597,42045,572,23482,619
goodland,ks,53030,701,58073,685,35942,712
goodrich,mi,75972,1153,85339,1210,43387,1008
gothenburg,ne,55461,797,66471,854,32862,684
gouverneur,ny,34089,765,52156,813,22461,738
gowanda,ny,37162,669,55063,750,21108,612
graceville,fl,29397,605,41926,629,20238,588
grafton,nd,43538,538,67273,548,26731,540
grafton,wv,32998,431,38153,395,22284,519
graham,tx,41519,637,43905,601,35071,690
gramercy--lutcher,la,52784,648,56935,628,29767,732
granbury,tx,58425,876,67299,860,33340,891
grand bay,al,52301,849,57455,844,22870,1042
grand forks,nd--mn,49013,849,82261,1057,28777,778
grand forks afb,nd,50307,1217,51250,660,50270,1246
grand island,ne,52096,748,68662,818,33791,707
grand junction,co,49837,945,61145,984,30243,898
grand rapids,mi,55340,901,70410,964,32425,835
grand rapids,mn,43238,654,61396,819,22648,612
grand saline,tx,32464,641,41708,551,23771,746
grandview,wa,47009,803,57162,904,32480,736
granger,wa,39721,906,41964,901,39038,909
grangerland,tx,45238,820,46597,786,40417,1129
grangeville,id,42431,818,39000,851,58083,673
granite falls,mn,46439,689,67868,791,18750,578
granite falls,wa,65977,1360,82153,1502,43102,1234
grants,nm,33964,531,42179,422,23225,633
grants pass,or,37636,882,48352,930,27095,860
grantsville,ut,59940,1152,68021,1234,31463,813
grantville,ga,46250,981,49833,926,37000,1031
granville,ny--vt,36118,725,58063,964,14662,588
grass valley,ca,47297,1121,60066,1151,29390,1094
gray,ga,64750,891,86875,971,24435,774
grayling,mi,36568,658,54712,660,19728,661
grayson,ky,32262,549,41921,529,22946,560
great barrington,ma,49956,998,56419,1116,46206,948
great bend,ks,41801,612,54063,597,27212,620
great falls,mt,44537,747,60381,811,28177,691
greeley,co,52720,987,68852,1067,36362,909
green bay,wi,53568,862,73610,1043,32844,742
greenbrier,ar,46185,809,58704,774,23450,835
greencastle,in,46203,709,53558,746,36442,685
greeneville,tn,34972,539,48058,543,23855,540
greenfield,ca,50447,1312,68242,1400,40949,1244
greenfield,ma,44819,946,65051,1151,27500,847
greenfield,oh,26250,584,43854,578,20559,590
green forest,ar,39135,576,41894,437,28468,659
green river,wy,74750,816,88125,851,40375,788
greensboro,ga,20960,620,30230,835,19402,606
greensboro,nc,48027,883,69224,1030,31550,816
greensburg,in,50855,755,60603,760,38207,753
greentown,in,52112,759,59219,718,35417,763
greenville,al,31775,546,38630,555,18767,539
greenville,il,50971,701,59884,776,31368,647
greenville,mi,37500,725,47272,724,22793,717
greenville,ms,27293,639,41333,562,19638,672
greenville,nc,41206,851,72411,1038,25276,769
greenville,oh,37907,609,49074,569,27635,627
greenville,pa,43376,584,60929,577,26452,592
greenville,sc,46085,807,62298,841,30052,786
greenville,tx,39701,795,52103,781,28238,799
greenwich,ny,66563,1078,89712,1272,30179,831
greenwood,ar,54976,771,74267,825,29719,717
greenwood,ms,25689,541,44867,576,12767,513
greenwood,sc,36186,687,53213,729,23486,659
grenada,ms,33074,640,42866,663,20221,620
gridley,ca,42735,859,59955,1069,27319,795
grifton,nc,35518,724,45323,755,28225,615
grinnell,ia,44349,758,61806,848,28500,699
grissom afb,in,42705,768,42955,720,42642,778
groesbeck,tx,40154,647,42124,689,23627,634
grottoes,va,48098,796,51810,894,36667,699
grove,ok,40045,718,53113,730,27111,699
grove city,pa,49853,736,68025,827,27154,667
guadalupe,ca,44000,1160,65583,1181,38865,1150
guayama,pr,15222,277,18197,248,8833,385
guerneville,ca,47750,1433,73359,1783,24943,970
gulfport,ms,45420,857,57492,848,33615,860
gun barrel city,tx,44219,763,51481,773,26429,735
gun lake,mi,68011,1056,71071,1128,44500,733
gunnison,co,40763,813,60686,708,25853,821
gunnison,ut,54702,1040,60893,1050,28333,945
gustine,ca,44167,905,59255,927,35370,879
guthrie,ok,43285,735,61131,725,30802,752
guymon,ok,48533,803,65504,853,36178,738
gypsum,co,89219,1682,99809,1830,50694,1377
hagerstown,md--wv--pa,55333,984,69227,1054,35896,933
hailey,id,56538,1058,73688,1234,31086,903
haleiwa--waialua--pupukea,hi,79910,1761,108750,2087,62713,1616
haleyville,al,26010,498,36176,470,21776,521
half moon bay,ca,118950,2404,136071,2752,73654,1891
halls,tn,36324,624,46172,516,24417,651
hallsville,tx,74491,941,78295,972,61346,929
hamburg,ar,31326,515,46250,444,16011,608
hamilton,al,31921,588,50380,633,21327,573
hamilton,mt,30052,773,35135,760,27404,774
hamilton,ny,62500,956,96023,1068,21417,667
hamilton,tx,34667,547,53802,556,16538,563
hammond,la,44229,770,57365,744,26099,779
hammonton,nj,64869,1422,79142,1619,36728,1182
hampshire,il,99775,1782,103872,1847,47179,1086
hampstead,nc,62415,1089,67165,1109,43664,993
hampton,ia,43594,673,46635,659,38468,707
hampton,sc,29000,536,36101,550,16581,522
hanceville,al,31628,614,45451,513,22278,639
hanford,ca,54110,1032,74103,1208,36562,917
hannibal,mo,38983,635,50500,625,29404,645
hanover,pa,55908,1015,67422,1129,33655,892
hardeeville,sc,33068,774,36250,550,27167,817
hardin,mt,43877,731,59276,679,30694,755
hardyston township west,nj,86667,1627,87167,1641,86042,1686
harlan,ia,49483,671,60276,729,21635,563
harlan,ky,27327,505,40024,504,15873,505
harlem,ga,44745,744,51290,705,33056,797
harlingen,tx,36361,615,45792,542,23506,671
harrah,ok,59453,960,77444,1092,28833,788
harriman--kingston--rockwood,tn,36502,612,46930,570,21785,647
harrington,de,49070,1060,69063,1274,32760,864
harrisburg,il,35123,530,51126,520,20205,540
harrisburg,or,47704,1086,49031,1099,36474,1075
harrisburg,pa,61024,1013,77801,1121,37915,924
harrisburg,sd,79792,1267,83491,1339,34457,835
harrison,ar,36790,593,47118,561,24992,608
harrison,mi,25591,547,30321,588,12475,470
harrison,oh--in,56009,858,68178,983,27226,722
harrisonburg,va,47444,885,72732,981,32804,859
harrisonville,mo,43498,841,58358,864,27770,815
harrodsburg,ky,33565,648,50353,808,22006,563
hart,mi,32255,635,47542,676,20104,602
hartford,ct,67390,1257,93086,1557,36789,1045
hartford city,in,37159,615,43449,614,23775,617
hartshorne,ok,39899,505,46324,438,23875,620
hartsville,sc,39669,643,56897,669,20809,638
hartwell,ga,33623,588,49680,581,21875,604
harvard,il,50927,1004,62382,1087,34666,951
hastings,mi,50813,802,58368,775,38188,817
hastings,mn,66304,1047,77481,1148,39215,872
hastings,ne,47141,697,64978,749,26784,656
hattiesburg,ms,40486,805,61903,825,26090,795
havana,fl,25536,439,41791,603,11563,418
havana,il,37436,555,43696,563,30833,546
havelock,nc,49493,1010,63120,987,40919,1024
havre,mt,44838,733,56509,863,26903,651
hawaiian paradise park,hi,47703,1078,54345,1039,25304,1131
hawkinsville,ga,33986,654,50667,569,33179,664
hawthorne,nv,42250,526,57724,492,31328,553
hays,ks,45693,745,73375,871,26561,672
hayti,mo,22107,584,32005,612,16654,579
hayward,wi,30174,649,41875,687,20677,651
hazard,ky,31089,601,53504,658,20845,526
hazlehurst,ga,29299,513,35333,471,23482,574
hazlehurst,ms,34497,570,37633,462,27317,679
hazleton,pa,41667,738,50666,723,28176,753
headland,al,40735,675,48036,683,19620,660
hearne,tx,52083,730,58879,729,17571,721
heavener,ok,30500,511,34944,454,20000,575
hebbronville,tx,29127,418,34696,388,16528,500
heber,ut,74737,1375,81828,1441,63719,1266
heber springs,ar,39925,570,55217,537,28175,647
hebron,in,51929,713,72692,763,16719,635
helena,mt,56116,873,72492,994,33590,810
helena-west helena,ar,21115,567,44333,525,17346,578
hemet,ca,41759,976,47928,898,32284,1044
hempstead,tx,34889,785,56369,682,24022,810
henderson,nc,27503,612,41960,599,18351,617
henderson,tn,36339,683,53113,802,18322,663
henderson,tx,40867,677,54559,629,25837,687
henrietta,tx,40759,645,52917,617,27500,680
henryetta,ok,33227,537,36208,479,25363,609
hereford,tx,48750,679,54776,607,36528,760
hermiston,or,48859,747,61424,881,30238,701
hesston,ks,58889,627,74352,800,28261,585
hiawatha,ks,43452,644,54297,632,31935,682
hibbing,mn,41642,583,54610,611,17923,546
hickory,nc,42552,691,54480,729,27145,669
hicksville,oh,48466,602,51571,627,42171,590
hidden valley lake,ca,64543,1575,73234,1593,43504,1505
higginsville,mo,47016,660,57742,622,34735,702
highland,il,57073,897,77444,1094,32446,705
high point,nc,44575,850,61277,947,29759,780
high springs,fl,48578,935,52658,870,32875,960
hillsboro,il,44551,608,52750,584,30349,648
hillsboro,ks,47222,613,52600,615,36607,606
hillsboro,mo,51970,877,54333,967,47222,824
hillsboro,oh,33129,658,45110,686,20142,650
hillsboro,tx,34706,643,50761,550,25349,710
hillsborough,nh,60560,1164,64344,1328,32385,969
hillsdale,mi,39503,668,52109,692,22747,632
hilmar-irwin,ca,59954,871,61801,594,56917,1201
hilo,hi,56520,927,70303,851,29564,981
hilton head island,sc,69659,1283,80514,1364,47066,1194
hinesville,ga,42477,999,55468,973,37166,1012
hinton,wv,31140,490,39667,357,19706,688
hobart,ok,35707,519,49738,433,18958,647
hobbs,nm,59158,728,66660,583,47773,865
hodgenville,ky,32395,625,49706,660,17115,564
hohenwald,tn,35847,474,41944,490,18317,472
hoisington,ks,45729,662,61042,686,27284,660
holbrook,az,39939,660,51047,587,34313,670
holden beach,nc,40192,579,32974,528,41070,644
holdenville,ok,33722,469,39583,385,26500,563
holdrege,ne,46875,705,59779,820,24872,534
holland,mi,59355,877,70364,911,35476,843
hollandale,ms,27159,452,36337,439,19821,471
hollister,ca,81675,1711,98800,2012,54199,1390
holly,mi,58736,927,65129,944,42983,869
holly springs,ms,27365,631,40589,795,19447,542
holton,ks,43041,665,56987,774,19667,530
holtville,ca,50502,796,67319,943,14006,639
homedale,id,29194,589,38051,554,22368,652
homer,la,17041,514,26346,267,12282,599
homerville,ga,18862,495,26250,428,14444,538
homesteads addition,tx,51930,739,53848,674,42120,859
hominy,ok,35952,398,41350,349,26650,538
homosassa springs--beverly hills--citrus springs,fl,38771,618,43153,525,25246,784
hondo,tx,49599,616,62457,574,41667,737
honea path,sc,26532,524,43631,524,16438,521
honeoye falls,ny,59242,917,83878,1140,36715,738
honesdale,pa,31741,800,43345,825,25033,783
honokaa,hi,62875,1094,72969,1164,59000,969
hood river,or--wa,54880,1061,77424,1229,34706,947
hooks,tx,41223,633,48301,480,28661,688
hoopeston,il,41241,491,53365,486,25268,496
hoosick falls,ny,48918,896,71875,1083,29924,855
hope,ar,31790,633,42034,617,23043,638
hopkinsville,ky,36580,658,50379,650,24396,662
horicon,wi,61470,891,66417,952,45139,845
hornell,ny,41426,603,56250,586,25009,620
horse cave,ky,34929,469,44087,441,21504,502
horseshoe bay,tx,72976,1008,77546,970,58438,1074
hot springs,ar,38154,686,52063,646,23155,711
hot springs,sd,49365,637,69118,674,32821,611
hot springs village,ar,52197,687,53837,627,40000,1007
houghton,mi,34119,720,56096,729,19704,717
houghton lake,mi,32656,636,38230,644,19615,628
houlton,me,33483,536,48974,821,24315,509
houma,la,48988,753,61377,658,31686,827
houston,ms,31552,530,41629,497,26169,557
houston,tx,62185,1117,85599,1258,40455,999
houtzdale,pa,34141,536,40700,575,26029,514
hudson,ny,44410,874,64894,1017,31039,821
hudson,wi--mn,73644,1242,86448,1385,46250,1013
hugo,ok,24391,502,33782,486,16556,523
hugoton,ks,56042,777,67325,891,36136,634
humboldt,ia,46944,627,62260,644,26417,610
humboldt,tn,36588,612,44492,553,21563,632
huntingburg,in,46210,614,76932,770,25200,542
huntingdon,pa,37500,550,52266,571,25500,548
huntington,in,42505,674,51243,677,29530,673
huntington,wv--ky--oh,42387,678,58317,663,22433,689
huntsville,al,62254,880,85876,979,31906,799
huntsville,tx,31953,823,62293,781,22426,829
huron,ca,22802,696,47786,920,18096,663
huron,sd,44123,595,56824,636,26566,565
hurricane,ut,50222,933,52083,858,42917,1013
hutchinson,ks,45051,717,56802,752,28910,699
hutchinson,mn,55419,868,63232,942,36815,806
huxley,ia,63424,1172,80278,1276,22468,746
idabel,ok,27626,493,39388,381,19175,598
idaho falls,id,52285,827,63202,905,32090,757
ilion--herkimer,ny,43757,684,56527,692,29796,669
imlay city,mi,38026,746,51719,683,24844,747
immokalee,fl,28851,723,38076,617,25915,751
incline village,nv--ca,71721,1481,88704,1911,45163,1271
independence,ia,47833,741,59286,809,36625,707
independence,ks,38885,650,50442,671,26467,658
indiana,pa,37412,769,65434,812,20070,756
indianapolis,in,56365,965,76988,1066,33543,873
indianola,ia,54872,900,73403,1078,31073,740
indianola,ms,27332,678,37215,679,23443,684
indianola,wa,77041,1364,84148,1433,44375,1177
indiantown,fl,34853,755,44702,745,24031,753
indio--cathedral city,ca,51193,1207,61706,1307,35506,1112
ingleside--aransas pass,tx,49763,917,59643,911,36235,922
interlachen,fl,28319,485,34918,337,18225,738
international falls,mn,43795,560,54708,557,14888,575
iola,ks,37108,589,44156,595,26126,581
ione,ca,66845,1265,69767,1331,29833,995
ionia,mi,39348,761,50522,758,24195,760
iowa,la,42880,686,58000,604,27463,721
iowa city,ia,54464,1032,88756,1185,27192,936
iowa falls,ia,49640,610,55000,616,38042,604
iowa park,tx,47165,799,51692,762,31615,876
iron mountain--kingsford,mi--wi,40957,637,47804,626,26351,661
iron river,mi,28446,516,33487,550,20357,471
ironton,mo,27740,542,40288,530,18603,550
ironwood,mi--wi,29258,526,39352,555,16298,504
irrigon,or,56058,764,59742,799,32034,746
irvine,ky,28224,490,45052,564,14674,455
ishpeming,mi,46286,669,56128,729,24189,578
ithaca,ny,45729,1197,103228,1445,28856,1129
itta bena,ms,20705,579,29583,536,14231,629
jacksboro,tx,42083,633,54118,625,27692,631
jackson,al,25477,529,35500,499,14917,619
jackson,ca,45417,1001,56679,894,34427,1042
jackson,ga,31791,728,37008,791,21655,641
jackson,ky,28197,475,43702,464,16607,499
jackson,mi,40669,733,53695,729,23683,735
jackson,mn,45077,627,55385,644,28385,621
jackson,ms,49659,905,66168,940,31496,873
jackson,tn,41144,854,58722,883,24852,841
jackson,wy,78819,1345,110610,1449,66536,1322
jacksonville,fl,54816,1056,70539,1106,37310,1010
jacksonville,il,43378,695,57463,723,24779,678
jacksonville,nc,43999,983,60300,1010,36608,967
jacksonville,tx,37370,696,48600,718,27759,683
jackson--wellston,oh,36444,630,44379,603,26667,665
jaffrey,nh,39821,921,57411,1136,35927,838
jamestown,ny,36963,625,54544,658,20272,602
jamestown,nd,51722,691,64381,726,32246,674
jamestown,oh,50638,893,61667,909,25750,743
janesville,wi,53288,883,68363,992,32316,788
jasper,al,39109,668,55064,731,18033,613
jasper,fl,37835,452,47639,440,16935,554
jasper,ga,40714,762,68839,795,25524,741
jasper,in,54226,681,65112,810,27315,569
jasper,tn,49271,800,65028,848,38750,695
jasper,tx,35197,718,57522,657,24135,733
jayuya,pr,14794,260,15711,184,14157,409
jeanerette,la,29766,450,39733,383,23686,608
jean lafitte,la,45714,723,48144,568,28109,1057
jefferson,ga,61676,1064,72478,1158,31867,794
jefferson,ia,56350,639,66906,687,30000,583
jefferson,nc,28866,571,38827,554,19755,582
jefferson,oh,49833,646,53095,810,28816,571
jefferson city,mo,50320,708,65095,799,32176,635
jefferson township north,nj,105158,2049,110134,2141,41393,1215
jena,la,24049,471,32488,398,11135,541
jennings,la,31004,543,49853,432,20542,593
jerome,id,39158,729,50217,733,27387,724
jersey shore,pa,50506,737,58669,765,35139,732
jerseyville,il,45168,696,56895,794,20763,604
jesup,ga,31855,586,44401,594,21871,585
jewett city,ct,51848,1021,60091,1256,37568,919
jim thorpe,pa,48935,789,51528,810,47962,768
johnson city,tn,39362,689,53882,715,23350,672
johnson creek,wi,74554,1093,84798,1323,50833,900
johnson lane,nv,80471,1464,81231,1562,72829,1320
johnston city,il,32989,519,37813,539,19638,509
johnstown,co,81747,1387,83771,1375,37306,1562
johnstown,oh,51133,867,67705,944,37280,783
johnstown,pa,37184,597,50803,593,20915,602
jonesboro,ar,43219,761,65470,797,26834,734
jonesboro,la,25071,512,36422,454,16178,517
jones creek,tx,68354,720,72895,646,35000,952
joplin,mo,45274,757,58750,759,31204,754
jordan,mn,62379,1207,83607,1377,38787,1036
juana díaz,pr,19881,246,23420,217,11691,427
junction,tx,31566,575,40799,564,18077,596
junction city,ks,45058,1040,63148,965,41207,1058
junction city,or,46046,994,51614,1072,34588,883
juneau,ak,88107,1439,108416,1759,58353,1189
juneau,wi,50887,855,65250,981,32917,723
justin,tx,78378,1366,86917,1402,63456,1031
kahului,hi,74900,1455,97347,1767,50574,1202
kailua (hawaii county)--holualoa,hi,70871,1430,82275,1592,55548,1312
kailua (honolulu county)--kaneohe,hi,99375,2143,117507,2073,70470,2246
kalaheo,hi,77409,1366,84452,1444,60417,1312
kalama,wa,69091,1050,75455,1258,38250,731
kalamazoo,mi,48062,833,67914,935,30530,761
kalispell,mt,46825,832,57500,894,31045,791
kalkaska,mi,37617,580,47434,605,22500,562
kamas,ut,61198,1138,76250,1228,50759,950
kanab,ut,49375,821,55182,762,31593,929
kane,pa,40139,605,51188,625,18352,586
kankakee,il,53667,927,66639,1014,32230,859
kansas city,mo--ks,59597,997,78711,1123,37188,900
kapaa,hi,69829,1378,82272,1361,51735,1391
kapaau,hi,66448,1032,70768,782,46071,1182
kaplan,la,35420,469,38923,414,16500,556
karnes city,tx,44792,573,48214,469,33333,751
kasson,mn,71725,1044,78454,1188,35865,643
kaufman,tx,37192,746,45224,773,28059,725
kayenta,az,33147,468,38636,350,28105,573
kearney,mo,67480,1132,80953,1153,43077,1083
kearney,ne,51331,839,77825,1048,30519,749
keene,nh,50459,1077,73448,1301,29900,958
kekaha,hi,66076,968,79567,668,53500,1182
kellogg,id,36380,663,48333,713,26849,613
kelseyville,ca,33404,691,50106,633,24253,902
kemmerer,wy,63399,715,75625,678,42768,810
kenai,ak,46458,954,60000,1144,37500,885
kendallville,in,37470,664,48092,679,24886,654
kenedy,tx,40901,406,49125,404,29803,404
kennebunk,me,70347,1194,89235,1364,44063,981
kennett,mo,31790,527,46490,541,17492,518
kennewick--pasco,wa,62052,985,78015,1088,36828,901
kenosha,wi--il,53598,989,72105,1168,31156,874
kenton,oh,40000,633,46586,683,23033,603
keokuk,ia--il,42696,625,50814,631,22917,616
kerman,ca,44911,1067,69505,1390,29308,835
kermit,tx,47838,451,47393,382,60606,841
kerrville,tx,44628,715,52034,639,35491,810
ketchikan,ak,59308,1156,78875,1215,40657,1115
ketchum,id,53603,1001,58144,977,52910,1034
kewanee,il,38106,608,47145,653,21681,573
kewaunee,wi,44688,635,64643,758,31406,596
key largo,fl,62512,1278,70916,1189,38466,1405
keyser,wv--md,35254,574,49750,485,23777,619
keystone heights,fl,53158,859,56838,757,35971,993
key west,fl,61580,1593,87003,1517,50429,1638
kiel--new holstein,wi,53814,785,62335,826,29669,598
kihei,hi,71184,1618,92449,1861,53095,1495
kilauea,hi,74265,1658,89412,1631,50192,1660
kilgore,tx,52414,761,62059,761,37859,764
kill devil hills,nc,60543,1263,68173,1391,44959,1154
killeen,tx,50271,965,65994,1033,40523,922
king city,ca,42000,1093,50813,1218,32463,1011
kingfisher,ok,54485,766,63822,831,50653,746
king george,va,92348,1617,97935,1748,59519,1295
kingman,az,38375,667,43012,524,30137,783
kingman,ks,45560,702,54286,711,26765,648
kingsland,tx,38199,727,42268,658,29231,839
kingsport,tn--va,41703,635,53137,632,23936,641
kingston,ny,53349,1123,73280,1285,29182,1045
kingstree,sc,22688,573,28209,512,16566,636
kingsville,tx,39239,763,62316,697,24222,797
kingwood,wv,47255,596,58816,590,25250,642
kinross,mi,34410,643,45179,675,26830,639
kinston,nc,34982,707,49268,779,21591,677
kirksville,mo,28010,605,62130,593,14568,610
kirtland,nm,56173,694,70640,630,24741,791
kissimmee,fl,49943,1151,58594,1110,39769,1182
kittanning--ford city,pa,39481,624,53704,637,21267,599
klamath falls--altamont,or,39163,751,51572,786,24996,732
knightstown,in,44955,661,50795,655,25185,654
knox,in,33104,665,35000,697,32730,651
knoxville,ia,44045,636,57552,722,28427,597
knoxville,tn,51706,848,67458,890,30132,814
kodiak,ak,72012,1442,100099,1641,39792,1289
kokomo,in,43065,680,56136,689,26702,674
kosciusko,ms,28293,511,42964,519,15313,509
kotzebue,ak,88047,1214,98542,863,77083,1446
krum,tx,78011,1259,78679,1281,77571,1173
kuna,id,64076,1045,70772,979,52292,1190
kutztown,pa,52440,987,81339,1258,23125,860
labelle--port labelle,fl,39609,618,52724,473,28341,750
la center,wa,86875,1514,88125,1484,82813,1608
laconia,nh,48709,985,69028,1101,30017,899
la conner,wa,58276,1087,64600,1060,40500,1154
la crosse,wi--mn,50964,859,69105,998,32203,786
lady lake--the villages,fl,50896,642,53845,596,33129,892
ladysmith,wi,37946,622,48071,602,28286,665
lafayette,ga,29685,638,43209,678,25783,627
lafayette,in,46332,843,69928,878,27670,824
lafayette,la,50893,822,68948,834,29853,813
lafayette,tn,31811,567,35526,552,27692,569
lafayette--louisville--erie,co,96963,1631,112832,1686,57875,1515
la follette,tn,34745,552,40218,506,21847,585
lago vista,tx,75274,1144,83534,1190,26413,1079
la grande,or,42242,748,65959,767,26846,731
lagrange,ga,35384,788,56496,804,26978,784
lagrange,in,42454,657,55313,661,28583,592
la grange,nc,26692,674,35500,766,14129,629
lagrange,oh,60297,877,61969,935,46386,756
la grange,tx,60946,690,60346,628,62981,875
lahaina,hi,73698,1572,91532,1951,58646,1430
laie--hauula,hi,85365,1582,101094,1711,73056,1518
la junta,co,32060,689,43164,630,21304,739
lake arrowhead--crestline,ca,58906,1198,72045,1383,35479,983
lake arthur,la,33056,461,36033,382,25347,580
lake bryant,fl,28304,399,40380,342,16889,595
lake butler,fl,32695,495,49063,584,18803,419
lake charles,la,46008,736,59928,635,28448,798
lake city,fl,39522,758,47859,618,32665,809
lake city,mn,52850,744,58097,716,40156,841
lake city,sc,28777,547,37829,465,22077,626
lake conroe eastshore,tx,81713,1303,94176,1254,35893,1358
lake conroe westshore,tx,66518,1156,76439,1147,40509,1191
lake crystal,mn,63750,817,80000,932,30223,744
lake delton,wi,40316,743,52998,821,23862,722
lake geneva,wi,55332,984,67922,1089,38046,879
lake havasu city,az,47288,858,53773,856,38935,859
lake holiday,il,75203,1247,82083,1286,52649,1183
lake isabella,ca,30065,688,33042,540,26476,772
lake jackson--angleton,tx,62446,871,84333,886,40036,863
lake lakengren,oh,65174,956,67576,966,46010,943
lakeland,fl,48931,870,59284,796,35569,918
lake land'or,va,63874,1309,67143,1309,46667,1308
lake los angeles,ca,42551,1025,44626,941,28889,1096
lake mills,wi,67827,1058,71542,1216,52462,964
lake montezuma,az,37569,861,43750,786,27091,909
lake monticello,va,73707,1334,75550,1277,70927,1420
lake norman of catawba,nc,53207,905,74223,1043,32432,858
lake of the pines,ca,82074,1625,86593,1650,65377,1568
lake of the woods,va,83220,1413,84545,1406,81378,1461
lake of the woods--pinetop-lakeside,az,49648,775,61138,815,26582,758
lake panasoffkee,fl,32530,482,36183,389,21167,577
lake park,ga,35774,756,48819,815,26797,656
lake placid,fl,34232,559,39738,462,21140,674
lake placid,ny,56336,878,56313,1007,56389,817
lake pocotopaug--east hampton,ct,96567,1565,105078,1646,46776,1119
lakeport,ca,40237,865,52966,832,25857,883
lake providence,la,18213,407,29745,315,13699,472
lake rancho viejo,ca,78563,2107,93636,2201,43690,1825
lakes--knik-fairview--wasilla,ak,78036,1367,92043,1514,43139,1103
lake view,al,84919,1181,85714,1171,63393,1401
lakeview,or,33324,708,52336,726,24030,688
lake village,ar,33188,535,42353,536,14938,530
lake wildwood,ca,55911,1488,58173,1501,46083,1445
lamar,co,38242,681,49510,619,23119,699
lamar,mo,33717,520,44613,523,25664,515
lamesa,tx,41010,556,49338,551,23818,574
lampasas,tx,41950,729,47355,717,29966,744
lanai city,hi,48682,895,60924,1051,43786,863
lancaster,ky,28114,602,50197,469,17176,629
lancaster,oh,40980,788,58249,831,24193,765
lancaster,pa,59957,1034,74267,1111,36897,958
lancaster,sc,35528,673,46933,664,23878,680
lancaster,wi,44821,653,60341,813,19541,534
lancaster--palmdale,ca,52413,1289,68854,1412,33380,1150
lander,wy,53824,777,60426,772,36515,786
landrum,sc--nc,43051,819,51840,742,24893,983
lansing,mi,49209,885,69047,961,30887,841
lapeer,mi,38292,691,48349,695,21989,690
laramie,wy,43727,793,74073,1048,25470,743
laredo,tx,41090,840,54660,916,24802,789
larned,ks,42950,620,51548,682,33232,554
las animas,co,23807,629,40815,501,18908,667
las cruces,nm,41151,767,58172,788,24273,753
las vegas,nm,26697,542,35159,483,13723,587
las vegas--henderson,nv,54959,1101,71167,1170,40942,1054
laughlin,nv,32906,696,42109,557,26868,732
laurel,ms,27917,587,38791,537,19104,631
laurel,mt,55452,822,67687,917,31122,733
laurel lake,nj,47944,1094,60404,989,29826,1167
laurens,sc,33407,621,46210,553,22435,651
laurinburg,nc,26269,625,43992,622,15878,624
laurium,mi,34403,536,42656,532,15913,530
lawrence,ks,49483,944,83945,1150,30294,860
lawrenceburg,ky,50079,845,62228,978,32718,705
lawrenceburg,tn,32253,618,41471,704,19219,564
lawrenceburg--greendale--aurora,in,42343,743,60640,881,24864,669
lawrenceville,il,40889,582,50030,576,27625,585
lawrenceville,va,23977,603,50833,663,15944,523
lawton,ok,44323,819,63085,842,35158,806
lead,sd,40712,598,44611,585,31976,641
leadville,co,44026,937,57614,1003,34317,920
leavenworth,ks,62178,966,71086,977,49418,957
leavenworth,wa,47250,750,48529,622,42222,944
lebanon,in,47125,802,62450,936,27158,758
lebanon,ky,29247,530,35179,458,25172,551
lebanon,mo,34916,634,49444,615,21724,635
lebanon,or,41759,871,53653,929,26738,834
lebanon,pa,53089,855,65712,923,33706,792
lebanon,tn,43985,845,62927,877,31528,831
lebanon--hanover,nh--vt,65074,1199,94413,1445,37384,1000
lee,ma,56273,914,91118,1281,36378,774
leesburg,ga,54750,869,61111,870,39519,867
leesburg--eustis--tavares,fl,43525,719,48411,607,32203,886
lee's summit,mo,81583,1272,94305,1366,43116,1038
leesville,la,37567,689,51208,536,29935,750
leitchfield,ky,28254,538,36545,582,21522,508
leland,ms,31127,600,42348,531,18207,645
le mars,ia,57016,650,71532,697,30879,548
lena,il,53839,777,62378,854,25188,525
leominster--fitchburg,ma,56462,1045,78148,1327,32056,898
leonardtown,md,92222,1515,137969,2190,24457,802
le roy,il,61362,849,74712,1044,36993,664
le roy,ny,42961,788,63417,978,24300,648
le sueur,mn,58864,811,64296,968,36638,649
levelland,tx,46301,656,57275,599,30076,668
lewes,de,69801,1101,72133,1038,60332,1227
lewisburg,tn,37673,656,47946,542,27393,672
lewisburg,wv,38410,691,47097,629,25188,741
lewiston,id--wa,49709,783,61563,915,29991,698
lewiston,me,41289,800,61163,1028,25639,719
lewistown,mt,39781,643,42058,599,29857,712
lewistown,pa,43809,683,55000,716,28174,660
lexington,mo,43786,625,64387,666,33162,614
lexington,ne,49190,723,60273,717,35076,731
lexington,tn,42286,643,66797,659,16664,628
lexington,va,37821,778,53550,769,28309,790
lexington-fayette,ky,52206,909,78024,1044,31262,824
lexington park--california--chesapeake ranch estates,md,78448,1494,97482,1578,55724,1374
libby,mt,27394,583,39063,603,20456,571
